Month,DayOfMonth,Hour,Minute,SOUTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,EAST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,NORTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,WEST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,ROOF_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Window_Transmitted_Solar_Radiation_Rate,SOUTH_WINDOW_2_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_2_Surface_Window_Transmitted_Solar_Radiation_Rate,MAIN_ZONE_Zone_Mean_Air_Temperature
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.167432071614684
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2707883164154357
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019544408868500007
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.832508271837839
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.279535469632205
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.322554398540221
1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9986682501700646
1,1,8,0.0,36.16613592018536,48.201484390612706,10.505989125007478,10.505989125007478,20.611255575721792,36.16613592018536,129.56963403527587,36.16613592018536,129.56963403527587,-5.219592449312502
1,1,9,0.0,196.62723059136056,204.35282945241497,46.10917199099863,46.10917199099863,112.70683400610505,196.62723059136056,735.1397128376939,196.62723059136056,735.1397128376939,-3.796591477020043
1,1,10,0.0,538.8910345450221,410.5969879453472,80.33061877547172,80.33061877547172,275.0191252789725,538.8910345450221,2093.1560235033194,538.8910345450221,2093.1560235033194,1.6234485250073223
1,1,11,0.0,665.309013339846,332.49198646194725,100.94310978795541,100.94310978795541,373.2205843276461,665.309013339846,2619.1284183073703,665.309013339846,2619.1284183073703,9.895904836803897
1,1,12,0.0,702.0017361088001,194.82647054958346,119.32744227382804,119.32744227382804,422.53807020884585,702.0017361088001,2760.822398615296,702.0017361088001,2760.822398615296,18.09118393023107
1,1,13,0.0,594.4717983956334,110.88066675801139,110.88066675801139,184.5474513667731,373.0601895008236,594.4717983956334,2331.2576416172087,594.4717983956334,2331.2576416172087,23.978340759547017
1,1,14,0.0,598.0371840990099,93.85169633664546,93.85169633664546,311.0779252087168,336.61112085795116,598.0371840990099,2348.6931831887227,598.0371840990099,2348.6931831887227,28.66050316086065
1,1,15,0.0,419.57154964621657,80.97054167911223,80.97054167911223,335.6650248283291,243.65404358511216,419.57154964621657,1614.222066729103,419.57154964621657,1614.222066729103,30.896919460202522
1,1,16,0.0,310.28218438099145,39.507167596978405,39.507167596978405,345.455397421635,120.4448669192414,310.28218438099145,1167.1107581120696,310.28218438099145,1167.1107581120696,31.232497313197303
1,1,17,0.0,60.88989763243072,5.914831282812772,5.914831282812772,88.93110112598178,14.267399491430398,60.88989763243072,218.8584914123971,60.88989763243072,218.8584914123971,28.718017729097323
1,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.46239524377021
1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.603075358371918
1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.146071854668563
1,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.142612498645445
1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.567159717894038
1,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.30762226636353
1,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.478005650556545
1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.036288977027114
1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.738899070179725
1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6079143068741435
1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.572057081906867
