Month,DayOfMonth,Hour,Minute,SOUTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,EAST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,NORTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,WEST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,ROOF_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Window_Transmitted_Solar_Radiation_Rate,SOUTH_WINDOW_2_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_2_Surface_Window_Transmitted_Solar_Radiation_Rate,MAIN_ZONE_Zone_Mean_Air_Temperature,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Total_Heating_Energy,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Sensible_Cooling_Energy,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Total_Heating_Rate,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Sensible_Cooling_Rate
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8655126.201201262,0.0,2404.201722555906,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10120341.603926474,0.0,2811.206001090688,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10567919.146084867,0.0,2935.5330961346854,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10558665.903776193,0.0,2932.9627510489427,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000004,10352546.589637725,0.0,2875.7073860104792,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9957825.568887588,0.0,2766.06265802433,0.0
1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9490943.205562845,0.0,2636.3731126563457,0.0
1,1,8,0.0,36.16613592018536,48.201484390612706,10.505989125007478,10.505989125007478,20.611255575721792,36.16613592018536,130.05255300620297,36.16613592018536,130.05255300620297,20.0,8720930.153488342,0.0,2422.480598191206,0.0
1,1,9,0.0,196.62723059136056,204.35282945241497,46.10917199099863,46.10917199099863,112.70683400610505,196.62723059136056,737.5355860237879,196.62723059136056,737.5355860237879,20.0,6043108.510537836,0.0,1678.6412529271765,0.0
1,1,10,0.0,538.8910345450221,410.5969879453472,80.33061877547172,80.33061877547172,275.0191252789725,538.8910345450221,2098.8558878683834,538.8910345450221,2098.8558878683834,20.406834338149977,955025.2887572484,0.0,265.284802432569,0.0
